segment_name,segment_value,control_n,treatment_n,control_mean,treatment_mean,lift,lift_pct,p_value
tenure,72,39,47,0.0,0.0,0.0,0.0,1.0
tenure,2,34,24,0.4411764705882353,0.25,-0.19117647058823528,-43.33333333333333,0.13568637191998834
tenure,1,73,73,0.5753424657534246,0.5205479452054794,-0.0547945205479452,-9.523809523809524,0.5059546916964957
tenure,7,13,17,0.5384615384615384,0.23529411764705882,-0.3031674208144796,-56.30252100840336,0.08772518743562174
tenure,13,13,11,0.6153846153846154,0.36363636363636365,-0.2517482517482518,-40.909090909090914,0.21906440661100812
tenure,10,15,15,0.4666666666666667,0.26666666666666666,-0.2,-42.85714285714286,0.2557043499428402
tenure,71,15,20,0.0,0.0,0.0,0.0,1.0
tenure,5,16,20,0.4375,0.3,-0.1375,-31.428571428571434,0.3933931794878782
tenure,3,19,21,0.3684210526315789,0.38095238095238093,0.012531328320802004,3.4013605442176873,0.9348439967257485
tenure,70,10,12,0.0,0.08333333333333333,0.08333333333333333,0.0,0.3501217384052011
tenure,66,13,12,0.15384615384615385,0.08333333333333333,-0.07051282051282053,-45.833333333333336,0.5877934560219047
tenure,12,10,14,0.3,0.14285714285714285,-0.15714285714285714,-52.38095238095239,0.3500203241705089
tenure,4,23,14,0.4782608695652174,0.5714285714285714,0.09316770186335399,19.48051948051947,0.5823902152451486
tenure,8,16,15,0.25,0.3333333333333333,0.08333333333333331,33.33333333333333,0.6094732040588786
Contract,Month-to-month,413,405,0.423728813559322,0.36790123456790125,-0.05582757899142077,-13.175308641975302,0.10262261558991526
Contract,One year,139,169,0.08633093525179857,0.11834319526627218,0.03201226001447362,37.080867850098606,0.35953697148892094
Contract,Two year,186,188,0.010752688172043012,0.010638297872340425,-0.00011439029970258634,-1.063829787234053,0.9914205147845219
InternetService,Fiber optic,330,339,0.38484848484848483,0.3893805309734513,0.004532046124966493,1.1776182844401124,0.904233048642056
InternetService,No,174,163,0.05747126436781609,0.05521472392638037,-0.0022565404414357226,-3.9263803680981577,0.928485606020022
InternetService,DSL,234,260,0.2222222222222222,0.11538461538461539,-0.10683760683760682,-48.07692307692307,0.0014395884508451307
